CONM2,1553315,33533,0,381.018,0.,0.,0.
CONM2,1553316,33534,0,381.018,0.,0.,0.
CONM2,1553317,33535,0,381.018,0.,0.,0.
CONM2,1553318,33536,0,381.018,0.,0.,0.
CONM2,1553319,33537,0,381.018,0.,0.,0.
CONM2,1553320,33538,0,381.018,0.,0.,0.
CONM2,1553321,33539,0,63.5029,0.,0.,0.
CONM2,1553322,33540,0,63.5029,0.,0.,0.
CONM2,1553323,33541,0,63.5029,0.,0.,0.
CONM2,1553324,33550,0,108.862,0.,0.,0.
CONM2,1553325,33551,0,108.862,0.,0.,0.
CONM2,1553326,33544,0,145.15,0.,0.,0.
CONM2,1553327,33546,0,145.15,0.,0.,0.
CONM2,1553328,33547,0,145.15,0.,0.,0.
CONM2,1553329,33548,0,108.862,0.,0.,0.
CONM2,1553330,33549,0,145.15,0.,0.,0.
CONM2,1553331,33542,0,145.15,0.,0.,0.
CONM2,1553332,33543,0,145.15,0.,0.,0.
CONM2,1553333,33545,0,145.15,0.,0.,0.
CONM2,1553334,33532,0,381.018,0.,0.,0.
